[s],MA1[],CH1[V],CH2[V]
-0.0009748,0.121101,,
-0.00097476,0.12106900000000001,,
-0.00097472,0.12106900000000001,,
-0.00097468,0.121189,,
-0.00097464,0.121189,,
-0.0009746,0.12128599999999999,,
-0.00097456,0.12135,,
-0.00097452,0.12138199999999999,,
-0.00097448,0.12153399999999999,,
-0.00097444,0.12156600000000001,,
-0.0009744,0.12166199999999999,,
-0.00097436,0.12163,,
-0.00097432,0.12175799999999999,,
-0.00097428,0.121814,,
-0.00097424,0.12184600000000001,,
-0.0009742,0.12194200000000001,,
-0.00097416,0.12207,,
-0.00097412,0.122102,,
-0.00097408,0.122222,,
-0.00097404,0.122254,,
-0.000974,0.122222,,
-0.00097396,0.12228599999999999,,
-0.00097392,0.12235,,
-0.00097388,0.12247000000000001,,
-0.00097384,0.122438,,
-0.0009738,0.122502,,
-0.00097376,0.122598,,
-0.00097372,0.122662,,
-0.00097368,0.12269400000000001,,
-0.00097364,0.12269400000000001,,
-0.0009736,0.122726,,
-0.00097356,0.122846,,
-0.00097352,0.12294200000000001,,
-0.00097348,0.12300599999999999,,
-0.00097344,0.12307,,
-0.0009734,0.123222,,
-0.00097336,0.12328599999999999,,
-0.00097332,0.12338199999999999,,
-0.00097328,0.123502,,
-0.00097324,0.12294200000000001,,
-0.0009732,0.12215799999999999,,
-0.00097316,0.12309400000000001,,
-0.00097312,0.12347000000000001,,
-0.00097308,0.12294200000000001,,
-0.00097304,0.122878,,
-0.000973,0.12331800000000001,,
-0.00097296,0.12315799999999999,,
-0.00097292,0.12303800000000001,,
-0.00097288,0.123254,,
-0.00097284,0.12328599999999999,,
-0.0009728,0.123254,,
-0.00097276,0.12328599999999999,,
-0.00097272,0.12341400000000001,,
-0.00097268,0.123502,,
-0.00097264,0.12356600000000001,,
-0.0009726,0.12366300000000001,,
-0.00097256,0.123727,,
-0.00097252,0.12378299999999999,,
-0.00097248,0.123911,,
-0.00097244,0.12394300000000001,,
-0.0009724,0.123975,,
-0.00097236,0.12419100000000001,,
-0.00097232,0.124287,,
-0.00097228,0.124383,,
-0.00097224,0.12440699999999999,,
-0.0009722,0.12440699999999999,,
-0.00097216,0.124471,,
-0.00097212,0.124503,,
-0.00097208,0.12456700000000001,,
-0.00097204,0.12456700000000001,,
-0.000972,0.12463099999999999,,
-0.00097196,0.124695,,
-0.00097192,0.124727,,
-0.00097188,0.12478299999999999,,
-0.00097184,0.124911,,
-0.0009718,0.125039,,
-0.00097176,0.125039,,
-0.00097172,0.125095,,
-0.00097168,0.125095,,
-0.00097164,0.125223,,
-0.0009716,0.125255,,
-0.00097156,0.125319,,
-0.00097152,0.125351,,
-0.00097148,0.125407,,
-0.00097144,0.12494300000000001,,
